session,session_type,meeting_no,date,section,item_order,item_text
427,임시회,제1호,2025년 7월 10일(목),일시,,2025년 7월 10일(목)
427,임시회,제1호,2025년 7월 10일(목),의사일정,1,2024년도 국정감사 결과보고서 채택의 건
427,임시회,제1호,2025년 7월 10일(목),의사일정,2,국립국가폭력트라우마치유센터의 설립 및 운영에 관한 법률 일부개정법률안(김한규 의원 대표발의)(의안번호 2200081)
427,임시회,제1호,2025년 7월 10일(목),의사일정,3,국립국가폭력트라우마치유센터의 설립 및 운영에 관한 법률 일부개정법률안(정춘생 의원 대표발의)(의안번호 2200604)
427,임시회,제1호,2025년 7월 10일(목),의사일정,4,국립국가폭력트라우마치유센터의 설립 및 운영에 관한 법률 일부개정법률안(양부남 의원 대표발의)(의안번호 2201237)
427,임시회,제1호,2025년 7월 10일(목),의사일정,5,국립국가폭력트라우마치유센터의 설립 및 운영에 관한 법률 일부개정법률안(위성곤 의원 대표발의)(의안번호 2204031)
427,임시회,제1호,2025년 7월 10일(목),의사일정,6,국립국가폭력트라우마치유센터의 설립 및 운영에 관한 법률 일부개정법률안(대안)
427,임시회,제1호,2025년 7월 10일(목),의사일정,7,국립국가폭력트라우마치유센터의 설립 및 운영에 관한 법률 일부개정법률안(전진숙 의원 대표발의)(의안번호 2208017)
427,임시회,제1호,2025년 7월 10일(목),의사일정,8,마을기업 지원에 관한 법률안(박정 의원 대표발의)(의안번호 2200039)
427,임시회,제1호,2025년 7월 10일(목),의사일정,9,마을기업육성지원법안(한병도 의원 대표발의)(의안번호 2201473)
427,임시회,제1호,2025년 7월 10일(목),의사일정,10,마을기업지원법안(이성권 의원 대표발의)(의안번호 2204369)
427,임시회,제1호,2025년 7월 10일(목),의사일정,11,마을기업 육성 및 지원에 관한 법률안(정동만 의원 대표발의)(의안번호 2204503)
427,임시회,제1호,2025년 7월 10일(목),의사일정,12,마을기업육성지원법안(신정훈 의원 대표발의)(의안번호 2204911)
427,임시회,제1호,2025년 7월 10일(목),의사일정,13,마을기업 육성 및 지원에 관한 법률안(이달희 의원 대표발의)(의안번호 2205410)
427,임시회,제1호,2025년 7월 10일(목),의사일정,14,마을기업 육성 및 지원에 관한 법률안(조승환 의원 대표발의)(의안번호 2210679)
427,임시회,제1호,2025년 7월 10일(목),의사일정,15,마을기업 육성 및 지원에 관한 법률안(대안)
427,임시회,제1호,2025년 7월 10일(목),의사일정,16,옥외광고물 등의 관리와 옥외광고산업 진흥에 관한 법률 일부개정법률안(이만희 의원 대표발의)(의안번호 2208324)
427,임시회,제1호,2025년 7월 10일(목),의사일정,17,지역사랑상품권 이용 활성화에 관한 법률 일부개정법률안(이수진 의원 대표발의)(의안번호 2205490)
427,임시회,제1호,2025년 7월 10일(목),의사일정,18,지역사랑상품권 이용 활성화에 관한 법률 일부개정법률안(위성곤 의원 대표발의)(의안번호 2206373)
427,임시회,제1호,2025년 7월 10일(목),의사일정,19,지역사랑상품권 이용 활성화에 관한 법률 일부개정법률안(박희승 의원 대표발의)(의안번호 2207106)
427,임시회,제1호,2025년 7월 10일(목),의사일정,20,지역사랑상품권 이용 활성화에 관한 법률 일부개정법률안(박정현 의원 발의)(의안번호 2207707)
427,임시회,제1호,2025년 7월 10일(목),의사일정,21,지역사랑상품권 이용 활성화에 관한 법률 일부개정법률안(노종면 의원 대표발의)(의안번호 2208145)
427,임시회,제1호,2025년 7월 10일(목),의사일정,22,지역사랑상품권 이용 활성화에 관한 법률 일부개정법률안(이해식 의원 대표발의)(의안번호 2211124)
427,임시회,제1호,2025년 7월 10일(목),의사일정,23,지역사랑상품권 이용 활성화에 관한 법률 일부개정법률안(신정훈 의원 대표발의)(의안번호 2207816)
427,임시회,제1호,2025년 7월 10일(목),의사일정,24,지역사랑상품권 이용 활성화에 관한 법률 일부개정법률안(대안)
427,임시회,제1호,2025년 7월 10일(목),의사일정,25,공직자윤리법 일부개정법률안(서범수 의원 대표발의)(의안번호 2202456)
427,임시회,제1호,2025년 7월 10일(목),의사일정,26,공무원연금법 일부개정법률안(주호영 의원 대표발의)(의안번호 2200776)
427,임시회,제1호,2025년 7월 10일(목),의사일정,27,경찰관 직무집행법 일부개정법률안(김종양 의원 대표발의)(의안번호 2208201)
427,임시회,제1호,2025년 7월 10일(목),의사일정,28,도로교통법 일부개정법률안(모경종 의원 대표발의)(의안번호 2210130)
427,임시회,제1호,2025년 7월 10일(목),의사일정,29,자율방범대 설치 및 운영에 관한 법률 일부개정법률안(위원회안)
427,임시회,제1호,2025년 7월 10일(목),의사일정,30,의용소방대 설치 및 운영에 관한 법률 일부개정법률안(양부남 의원 대표발의)(의안번호 2207948)
427,임시회,제1호,2025년 7월 10일(목),의사일정,31,공공단체등 위탁선거에 관한 법률 일부개정법률안(양부남 의원 대표발의)(의안번호 2207939)
427,임시회,제1호,2025년 7월 10일(목),의사일정,32,공공단체등 위탁선거에 관한 법률 일부개정법률안(신정훈 의원 대표발의)(의안번호 2208287)
427,임시회,제1호,2025년 7월 10일(목),의사일정,33,공공단체등 위탁선거에 관한 법률 일부개정법률안(대안)
427,임시회,제1호,2025년 7월 10일(목),의사일정,34,국무위원후보자(행정안전부장관 윤호중) 인사청문요청안
427,임시회,제1호,2025년 7월 10일(목),의사일정,35,국무위원후보자(행정안전부장관 윤호중) 인사청문회 실시계획서 채택의 건
427,임시회,제1호,2025년 7월 10일(목),의사일정,36,국무위원후보자(행정안전부장관 윤호중) 인사청문회 자료제출 요구의 건
427,임시회,제1호,2025년 7월 10일(목),의사일정,37,국무위원후보자(행정안전부장관 윤호중) 인사청문회 증인·참고인 출석요구의 건
427,임시회,제1호,2025년 7월 10일(목),상정된 안건,1,2024년도 국정감사 결과보고서 채택의 건
427,임시회,제1호,2025년 7월 10일(목),상정된 안건,2,국립국가폭력트라우마치유센터의 설립 및 운영에 관한 법률 일부개정법률안(김한규 의원 대표발의)(의안번호 2200081)
427,임시회,제1호,2025년 7월 10일(목),상정된 안건,3,국립국가폭력트라우마치유센터의 설립 및 운영에 관한 법률 일부개정법률안(정춘생 의원 대표발의)(의안번호 2200604)
427,임시회,제1호,2025년 7월 10일(목),상정된 안건,4,국립국가폭력트라우마치유센터의 설립 및 운영에 관한 법률 일부개정법률안(양부남 의원 대표발의)(의안번호 2201237)
427,임시회,제1호,2025년 7월 10일(목),상정된 안건,5,국립국가폭력트라우마치유센터의 설립 및 운영에 관한 법률 일부개정법률안(위성곤 의원 대표발의)(의안번호 2204031)
427,임시회,제1호,2025년 7월 10일(목),상정된 안건,6,국립국가폭력트라우마치유센터의 설립 및 운영에 관한 법률 일부개정법률안(대안)
427,임시회,제1호,2025년 7월 10일(목),상정된 안건,7,국립국가폭력트라우마치유센터의 설립 및 운영에 관한 법률 일부개정법률안(전진숙 의원 대표발의)(의안번호 2208017)
427,임시회,제1호,2025년 7월 10일(목),상정된 안건,8,마을기업 지원에 관한 법률안(박정 의원 대표발의)(의안번호 2200039)
427,임시회,제1호,2025년 7월 10일(목),상정된 안건,9,마을기업육성지원법안(한병도 의원 대표발의)(의안번호 2201473)
427,임시회,제1호,2025년 7월 10일(목),상정된 안건,10,마을기업지원법안(이성권 의원 대표발의)(의안번호 2204369)
427,임시회,제1호,2025년 7월 10일(목),상정된 안건,11,마을기업 육성 및 지원에 관한 법률안(정동만 의원 대표발의)(의안번호 2204503)
427,임시회,제1호,2025년 7월 10일(목),상정된 안건,12,마을기업육성지원법안(신정훈 의원 대표발의)(의안번호 2204911)
427,임시회,제1호,2025년 7월 10일(목),상정된 안건,13,마을기업 육성 및 지원에 관한 법률안(이달희 의원 대표발의)(의안번호 2205410)
427,임시회,제1호,2025년 7월 10일(목),상정된 안건,14,마을기업 육성 및 지원에 관한 법률안(조승환 의원 대표발의)(의안번호 2210679)
427,임시회,제1호,2025년 7월 10일(목),상정된 안건,15,마을기업 육성 및 지원에 관한 법률안(대안)
427,임시회,제1호,2025년 7월 10일(목),상정된 안건,16,옥외광고물 등의 관리와 옥외광고산업 진흥에 관한 법률 일부개정법률안(이만희 의원 대표발의)(의안번호 2208324)
427,임시회,제1호,2025년 7월 10일(목),상정된 안건,17,지역사랑상품권 이용 활성화에 관한 법률 일부개정법률안(이수진 의원 대표발의)(의안번호 2205490)
427,임시회,제1호,2025년 7월 10일(목),상정된 안건,18,지역사랑상품권 이용 활성화에 관한 법률 일부개정법률안(위성곤 의원 대표발의)(의안번호 2206373)
427,임시회,제1호,2025년 7월 10일(목),상정된 안건,19,지역사랑상품권 이용 활성화에 관한 법률 일부개정법률안(박희승 의원 대표발의)(의안번호 2207106)
427,임시회,제1호,2025년 7월 10일(목),상정된 안건,20,지역사랑상품권 이용 활성화에 관한 법률 일부개정법률안(박정현 의원 발의)(의안번호 2207707)
427,임시회,제1호,2025년 7월 10일(목),상정된 안건,21,지역사랑상품권 이용 활성화에 관한 법률 일부개정법률안(노종면 의원 대표발의)(의안번호 2208145)
427,임시회,제1호,2025년 7월 10일(목),상정된 안건,22,지역사랑상품권 이용 활성화에 관한 법률 일부개정법률안(이해식 의원 대표발의)(의안번호 2211124)
427,임시회,제1호,2025년 7월 10일(목),상정된 안건,23,지역사랑상품권 이용 활성화에 관한 법률 일부개정법률안(신정훈 의원 대표발의)(의안번호 2207816)
427,임시회,제1호,2025년 7월 10일(목),상정된 안건,24,지역사랑상품권 이용 활성화에 관한 법률 일부개정법률안(대안)
427,임시회,제1호,2025년 7월 10일(목),상정된 안건,25,공직자윤리법 일부개정법률안(서범수 의원 대표발의)(의안번호 2202456)
427,임시회,제1호,2025년 7월 10일(목),상정된 안건,26,공무원연금법 일부개정법률안(주호영 의원 대표발의)(의안번호 2200776)
427,임시회,제1호,2025년 7월 10일(목),상정된 안건,27,경찰관 직무집행법 일부개정법률안(김종양 의원 대표발의)(의안번호 2208201)
427,임시회,제1호,2025년 7월 10일(목),상정된 안건,28,도로교통법 일부개정법률안(모경종 의원 대표발의)(의안번호 2210130)
427,임시회,제1호,2025년 7월 10일(목),상정된 안건,29,자율방범대 설치 및 운영에 관한 법률 일부개정법률안(위원회안)
427,임시회,제1호,2025년 7월 10일(목),상정된 안건,30,의용소방대 설치 및 운영에 관한 법률 일부개정법률안(양부남 의원 대표발의)(의안번호 2207948)
427,임시회,제1호,2025년 7월 10일(목),상정된 안건,31,공공단체등 위탁선거에 관한 법률 일부개정법률안(양부남 의원 대표발의)(의안번호 2207939)
427,임시회,제1호,2025년 7월 10일(목),상정된 안건,32,공공단체등 위탁선거에 관한 법률 일부개정법률안(신정훈 의원 대표발의)(의안번호 2208287)
427,임시회,제1호,2025년 7월 10일(목),상정된 안건,33,공공단체등 위탁선거에 관한 법률 일부개정법률안(대안)
427,임시회,제1호,2025년 7월 10일(목),상정된 안건,34,국무위원후보자(행정안전부장관 윤호중) 인사청문요청안
427,임시회,제1호,2025년 7월 10일(목),상정된 안건,35,국무위원후보자(행정안전부장관 윤호중) 인사청문회 실시계획서 채택의 건
427,임시회,제1호,2025년 7월 10일(목),상정된 안건,36,국무위원후보자(행정안전부장관 윤호중) 인사청문회 자료제출 요구의 건
