session,session_type,meeting_no,date,section,item_order,item_text
416,임시회,제6호,2024년 7월 30일(화),일시,,2024년 7월 30일(화)
416,임시회,제6호,2024년 7월 30일(화),의사일정,1,경찰청장후보자(조지호) 인사청문회
416,임시회,제6호,2024년 7월 30일(화),의사일정,2,경찰청장후보자(조지호) 인사청문경과보고서 채택의 건(추가)
416,임시회,제6호,2024년 7월 30일(화),의사일정,3,인사청문회 불출석 증인 고발의 건(추가)
416,임시회,제6호,2024년 7월 30일(화),상정된 안건,1,경찰청장후보자(조지호) 인사청문회
416,임시회,제6호,2024년 7월 30일(화),상정된 안건,2,o 의사일정 변경의 건
416,임시회,제6호,2024년 7월 30일(화),상정된 안건,3,경찰청장후보자(조지호) 인사청문경과보고서 채택의 건
416,임시회,제6호,2024년 7월 30일(화),상정된 안건,4,인사청문회 불출석 증인 고발의 건
