session,session_type,meeting_no,date,section,item_order,item_text
418,정기회,제11호,2024년 11월 14일(목),일시,,2024년 11월 14일(목)
418,정기회,제11호,2024년 11월 14일(목),의사일정,1,2025년도 예산안(의안번호 2203519)
418,정기회,제11호,2024년 11월 14일(목),의사일정,2,가. 행정안전부 소관
418,정기회,제11호,2024년 11월 14일(목),의사일정,3,나. 중앙선거관리위원회 소관
418,정기회,제11호,2024년 11월 14일(목),의사일정,4,다. 진실·화해를위한과거사정리위원회 소관
418,정기회,제11호,2024년 11월 14일(목),의사일정,5,라. 인사혁신처 소관
418,정기회,제11호,2024년 11월 14일(목),의사일정,6,마. 경찰청 소관
418,정기회,제11호,2024년 11월 14일(목),의사일정,7,바. 소방청 소관
418,정기회,제11호,2024년 11월 14일(목),의사일정,8,2025년도 기금운용계획안(의안번호 2203520)
418,정기회,제11호,2024년 11월 14일(목),의사일정,9,가. 공무원연금기금
418,정기회,제11호,2024년 11월 14일(목),의사일정,10,현안 질의
418,정기회,제11호,2024년 11월 14일(목),상정된 안건,1,2025년도 예산안(의안번호 2203519)
418,정기회,제11호,2024년 11월 14일(목),상정된 안건,2,가. 행정안전부 소관
418,정기회,제11호,2024년 11월 14일(목),상정된 안건,3,나. 중앙선거관리위원회 소관
418,정기회,제11호,2024년 11월 14일(목),상정된 안건,4,다. 진실·화해를위한과거사정리위원회 소관
418,정기회,제11호,2024년 11월 14일(목),상정된 안건,5,라. 인사혁신처 소관
418,정기회,제11호,2024년 11월 14일(목),상정된 안건,6,마. 경찰청 소관
418,정기회,제11호,2024년 11월 14일(목),상정된 안건,7,바. 소방청 소관
418,정기회,제11호,2024년 11월 14일(목),상정된 안건,8,2025년도 기금운용계획안(의안번호 2203520)
418,정기회,제11호,2024년 11월 14일(목),상정된 안건,9,가. 공무원연금기금
418,정기회,제11호,2024년 11월 14일(목),상정된 안건,10,현안 질의
