session,session_type,meeting_no,date,speech_order,speaker_name,speaker_position,speaker_area,data_mem_id,agenda_item_orders,agenda_item_titles,agenda_item_times,speech_text
418,정기회,제5호,2024년 10월 10일(목),1,신정훈,위원장,(전남 나주시화순군),6713,,,,"의석을 정돈해 주시기 바랍니다. 
 성원이 되었으므로 제418회 국회(정기회) 제5차 행정안전위원회를 개회하겠습니다. 
 곧바로 안건을 상정하겠습니다."
418,정기회,제5호,2024년 10월 10일(목),2,신정훈,위원장,(전남 나주시화순군),6713,1,2024년도 국정감사 증인에 대한 동행명령장 발부의 건,,"의사일정 제1항 2024년도 국정감사 증인에 대한 동행명령장 발부의 건을 상정합니다. 
 이 안건은 우리 위원회가 의결한 오늘 국정감사 출석 대상 증인 중 정당한 이유 없이 불출석한 김영선 증인, 명태균 증인, 이상 2명에게 국회에서의 증언·감정 등에 관한 법률 제6조의 규정에 따라 이곳 국정감사장으로 동행할 것을 명령하기 위함입니다. 
 자세한 내용은 배부해 드린 유인물을 참조해 주시고 오늘 국정감사에 불출석한 김영선 증인, 명태균 증인, 이상 2명의 증인을 오늘 오후 2시까지 이곳 행정안전위원회 전체회의장으로 동행할 것을 명령코자 하는데 위원님 여러분 이의 없으십니까? 
 (「없습니다」 하는 위원 있음)
 (「이의 있습니다」 하는 위원 있음)
 위원들 간에 의견이 나뉘므로 표결을 하도록 하겠습니다. 
 표결은 국회법 71조와 112조에 따라서 거수로 진행하도록 하겠습니다. 
 배부해 드린 증인 명단에 대해서 찬성하시는 위원님 손 들어 주시기 바랍니다. 
 (거수 표결)
 반대하시는 위원님 손 들어 주시기 바랍니다. 
 (거수 표결)
 내려 주시기 바랍니다. 
 집계한 표결 결과를 말씀드리면 재적위원 22인 중 출석 21인, 찬성 14인, 반대 7인으로 의사일정 제1항 2024년 국정감사 증인에 대한 동행명령장 발부의 건은 가결되었음을 선포합니다. 
 그러면 지금 바로 동행명령장을 집행토록 하겠습니다. 
 국회 경위 직원들은 위원장 앞으로 나와 주시기 바랍니다. 
 (국회 경위 입장·도열)
 국회 행정안전위원회 위원장은 현 시간부로 국정감사에 증인을 출석시키기 위한 동행명령장을 발부합니다. 
 국회 경위께서는 김영선 증인과 명태균 증인에 대한 동행명령을 즉각 집행하여 주시기 바랍니다. 
 (동행명령장 전달)
 국회 경위 여러분과 입법조사관 여러분께서는 막중한 책임감을 가지고 오늘 불출석한 증인에 대한 동행명령장이 집행될 수 있도록 최선의 노력을 다해 주시기 바랍니다. 
 감사합니다. 
 집행해 주십시오. 
 그러면 국정감사를 계속 진행하겠습니다. 
 정회를 선포합니다."
