session,session_type,meeting_no,date,section,item_order,item_text
425,임시회,제1호,2025년 5월 7일(수),일시,,2025년 5월 7일(수)
425,임시회,제1호,2025년 5월 7일(수),의사일정,1,간사 선임의 건
425,임시회,제1호,2025년 5월 7일(수),의사일정,2,공직선거법 일부개정법률안(신정훈 의원 대표발의)(의안번호 2210374)(추가)
425,임시회,제1호,2025년 5월 7일(수),상정된 안건,1,간사 선임의 건
425,임시회,제1호,2025년 5월 7일(수),상정된 안건,2,o 간사(서범수) 인사
425,임시회,제1호,2025년 5월 7일(수),상정된 안건,3,o 의사일정 변경동의의 건
425,임시회,제1호,2025년 5월 7일(수),상정된 안건,4,o 의사일정 상정의 건
425,임시회,제1호,2025년 5월 7일(수),상정된 안건,5,공직선거법 일부개정법률안(신정훈 의원 대표발의)(의안번호 2210374)
