session,session_type,meeting_no,date,speech_order,speaker_name,speaker_position,speaker_area,data_mem_id,agenda_item_orders,agenda_item_titles,agenda_item_times,speech_text
429,정기회,제9호,2025년 10월 14일(화),1,신정훈,위원장,(전남 나주시화순군),6713,,,,증인·참고인의 추가 의결을 위해서 감사 중지를 선포하고 바로 제429회 국회 정기회 제9차 행정안전위원회를 개회하겠습니다.
429,정기회,제9호,2025년 10월 14일(화),2,신정훈,위원장,(전남 나주시화순군),6713,1,2025년도 국정감사 증인 및 참고인 출석 요구 추가의 건,(16시19분),"의사일정 제1항 2025년도 국정감사 증인 및 참고인 출석 요구 추가의 건을 상정합니다.
 다음 주 이후 국정감사 증인 및 참고인을 추가로 채택코자 간사 간 합의를 거쳐서 배부해 드린 유인물과 같이 명단을 마련했습니다.
 이와 같이 증인 및 참고인 출석 요구 추가의 건을 의결코자 하는데 이의 없으십니까?
 (「예」 하는 위원 있음)
 이의가 없으시므로 가결됐음을 선포합니다.
(일반증인 및 참고인 명단은 끝에 실음) 그러면 전체회의 정회를 선포하고 이어서 감사를 계속하겠습니다."
