session,session_type,meeting_no,date,speech_order,speaker_name,speaker_position,speaker_area,data_mem_id,agenda_item_orders,agenda_item_titles,agenda_item_times,speech_text
429,정기회,제3호,2025년 9월 15일(월),1,신정훈,위원장,(전남 나주시화순군),6713,,,,제429회 국회(정기회) 제3차 행정안전위원회를 개회하겠습니다.
429,정기회,제3호,2025년 9월 15일(월),2,신정훈,위원장,(전남 나주시화순군),6713,1,증인 출석요구 추가의 건,(11시30분),"간사 간 합의에 따라서 의사일정 제1항 국정조사 증인 출석요구 추가의 건을 상정합니다.
 이동옥 충북도청 행정부지사에게 2025년도 9월 23일 국정조사 청문회의 증인으로 출석할 것을 요구코자 하는데 이의 없으십니까?
 (「예」 하는 위원 있음)
 의사일정 제1항은 가결되었음을 선포합니다.
 그러면 전체회의를 정회하고 국정조사 재개를 선포합니다."
