session,session_type,meeting_no,date,section,item_order,item_text
429,정기회,제5호,2025년 9월 22일(월),일시,,2025년 9월 22일(월)
429,정기회,제5호,2025년 9월 22일(월),의사일정,1,지방재정법 일부개정법률안(박정현 의원 대표발의)(의안번호 2211045)
429,정기회,제5호,2025년 9월 22일(월),의사일정,2,지방재정법 일부개정법률안(서영교 의원 대표발의)(의안번호 2211223)
429,정기회,제5호,2025년 9월 22일(월),의사일정,3,지방재정법 일부개정법률안(대안)
429,정기회,제5호,2025년 9월 22일(월),의사일정,4,정부조직법 일부개정법률안(의안번호 2200010)
429,정기회,제5호,2025년 9월 22일(월),의사일정,5,정부조직법 일부개정법률안(의안번호 2201590)
429,정기회,제5호,2025년 9월 22일(월),의사일정,6,정부조직법 일부개정법률안(의안번호 2203770)
429,정기회,제5호,2025년 9월 22일(월),의사일정,7,정부조직법 일부개정법률안(의안번호 2204163)
429,정기회,제5호,2025년 9월 22일(월),의사일정,8,정부조직법 일부개정법률안(의안번호 2204412)
429,정기회,제5호,2025년 9월 22일(월),의사일정,9,정부조직법 일부개정법률안(의안번호 2205104)
429,정기회,제5호,2025년 9월 22일(월),의사일정,10,정부조직법 일부개정법률안(의안번호 2208263)
429,정기회,제5호,2025년 9월 22일(월),의사일정,11,정부조직법 일부개정법률안(의안번호 2208373)
429,정기회,제5호,2025년 9월 22일(월),의사일정,12,정부조직법 일부개정법률안(의안번호 2208938)
429,정기회,제5호,2025년 9월 22일(월),의사일정,13,정부조직법 일부개정법률안(의안번호 2209646)
429,정기회,제5호,2025년 9월 22일(월),의사일정,14,정부조직법 일부개정법률안(의안번호 2209669)
429,정기회,제5호,2025년 9월 22일(월),의사일정,15,정부조직법 일부개정법률안(의안번호 2209881)
429,정기회,제5호,2025년 9월 22일(월),의사일정,16,정부조직법 일부개정법률안(의안번호 2210672)
429,정기회,제5호,2025년 9월 22일(월),의사일정,17,정부조직법 일부개정법률안(의안번호 2211273)
429,정기회,제5호,2025년 9월 22일(월),의사일정,18,정부조직법 일부개정법률안(의안번호 2211308)
429,정기회,제5호,2025년 9월 22일(월),의사일정,19,정부조직법 일부개정법률안(의안번호 2211320)
429,정기회,제5호,2025년 9월 22일(월),의사일정,20,정부조직법 일부개정법률안(의안번호 2211382)
429,정기회,제5호,2025년 9월 22일(월),의사일정,21,정부조직법 일부개정법률안(의안번호 2211530)
429,정기회,제5호,2025년 9월 22일(월),의사일정,22,정부조직법 일부개정법률안(의안번호 2212349)
429,정기회,제5호,2025년 9월 22일(월),의사일정,23,정부조직법 일부개정법률안(의안번호 2212350)
429,정기회,제5호,2025년 9월 22일(월),의사일정,24,정부조직법 일부개정법률안(의안번호 2212441)
429,정기회,제5호,2025년 9월 22일(월),의사일정,25,정부조직법 일부개정법률안(의안번호 2212538)
429,정기회,제5호,2025년 9월 22일(월),의사일정,26,정부조직법 일부개정법률안(의안번호 2212730)
429,정기회,제5호,2025년 9월 22일(월),의사일정,27,정부조직법 일부개정법률안(의안번호 2212859)
429,정기회,제5호,2025년 9월 22일(월),의사일정,28,정부조직법 일부개정법률안(의안번호 2212965)
429,정기회,제5호,2025년 9월 22일(월),의사일정,29,정부조직법 일부개정법률안(대안)
429,정기회,제5호,2025년 9월 22일(월),상정된 안건,1,지방재정법 일부개정법률안(박정현 의원 대표발의)(의안번호 2211045)
429,정기회,제5호,2025년 9월 22일(월),상정된 안건,2,지방재정법 일부개정법률안(서영교 의원 대표발의)(의안번호 2211223)
429,정기회,제5호,2025년 9월 22일(월),상정된 안건,3,지방재정법 일부개정법률안(대안)
429,정기회,제5호,2025년 9월 22일(월),상정된 안건,4,정부조직법 일부개정법률안(의안번호 2200010)
429,정기회,제5호,2025년 9월 22일(월),상정된 안건,5,정부조직법 일부개정법률안(의안번호 2201590)
429,정기회,제5호,2025년 9월 22일(월),상정된 안건,6,정부조직법 일부개정법률안(의안번호 2203770)
429,정기회,제5호,2025년 9월 22일(월),상정된 안건,7,정부조직법 일부개정법률안(의안번호 2204163)
429,정기회,제5호,2025년 9월 22일(월),상정된 안건,8,정부조직법 일부개정법률안(의안번호 2204412)
429,정기회,제5호,2025년 9월 22일(월),상정된 안건,9,정부조직법 일부개정법률안(의안번호 2205104)
429,정기회,제5호,2025년 9월 22일(월),상정된 안건,10,정부조직법 일부개정법률안(의안번호 2208263)
429,정기회,제5호,2025년 9월 22일(월),상정된 안건,11,정부조직법 일부개정법률안(의안번호 2208373)
429,정기회,제5호,2025년 9월 22일(월),상정된 안건,12,정부조직법 일부개정법률안(의안번호 2208938)
429,정기회,제5호,2025년 9월 22일(월),상정된 안건,13,정부조직법 일부개정법률안(의안번호 2209646)
429,정기회,제5호,2025년 9월 22일(월),상정된 안건,14,정부조직법 일부개정법률안(의안번호 2209669)
429,정기회,제5호,2025년 9월 22일(월),상정된 안건,15,정부조직법 일부개정법률안(의안번호 2209881)
429,정기회,제5호,2025년 9월 22일(월),상정된 안건,16,정부조직법 일부개정법률안(의안번호 2210672)
429,정기회,제5호,2025년 9월 22일(월),상정된 안건,17,정부조직법 일부개정법률안(의안번호 2211273)
429,정기회,제5호,2025년 9월 22일(월),상정된 안건,18,정부조직법 일부개정법률안(의안번호 2211308)
429,정기회,제5호,2025년 9월 22일(월),상정된 안건,19,정부조직법 일부개정법률안(의안번호 2211320)
429,정기회,제5호,2025년 9월 22일(월),상정된 안건,20,정부조직법 일부개정법률안(의안번호 2211382)
429,정기회,제5호,2025년 9월 22일(월),상정된 안건,21,정부조직법 일부개정법률안(의안번호 2211530)
429,정기회,제5호,2025년 9월 22일(월),상정된 안건,22,정부조직법 일부개정법률안(의안번호 2212349)
429,정기회,제5호,2025년 9월 22일(월),상정된 안건,23,정부조직법 일부개정법률안(의안번호 2212350)
